Catcode	Catname	Catorder	Industry	Sector	Sector Long
T8400	Bicycles & other non-motorized recreational transp	M06	Misc Transport	Transportation	Transportation
T9000	Lodging & tourism	N08	Lodging/Tourism	Misc Business	Misc Business
T9100	Hotels & motels	N08	Lodging/Tourism	Misc Business	Misc Business
T9300	Resorts	N08	Lodging/Tourism	Misc Business	Misc Business
T9400	Travel agents	N08	Lodging/Tourism	Misc Business	Misc Business
X0000	Other	W07	Other	Other	Other
X1200	Retired	W06	Retired	Other	Other
X3100	Public official (elected or appointed)	W03	Civil Servants/Public Officials	Other	Other
X3000	Civil servant/public employee	W03	Civil Servants/Public Officials	Other	Other
X3200	Courts & Justice System	W03	Civil Servants/Public Officials	Other	Other
X3500	Public school teachers, administrators & officials 	W04	Education	Other	Other
X4000	Non-Profits	W02	Non-Profit Institutions	Other	Other
X4100	Non-profit foundations	W02	Non-Profit Institutions	Other	Other
X4200	Museums, art galleries, libraries, etc. 	W02	Non-Profit Institutions	Other	Other
Z1300	Third-Party Candidate Committees	Q16	Candidate Committees	Ideology/Single-Issue	Ideological/Single-Issue
Z9999	Internal Transfer and other non-contributions	Z09	Non-contribution	Non-contribution	Non-contribution
J1110	Christian Conservative	Q01	Republican/Conservative	Ideology/Single-Issue	Ideological/Single-Issue
G6550	Indian Gaming	N07	Casinos/Gambling	Misc Business	Misc Business
X7000	Churches, clergy & religious organizations 	W05	Clergy & Religious Organizations	Other	Other
X3700	US Postal Service	W03	Civil Servants/Public Officials	Other	Other
Z1000	Candidate Committees	Q16	Candidate Committees	Ideology/Single-Issue	Ideological/Single-Issue
Z5000	Party Committees	Z02	Party Committees	Party Cmte	Party Cmtes
A3500	Horse breeders	A06	Livestock	Agribusiness	Agribusiness
Z9600	Non-Contribution, Miscellaneous 	Z09	Non-contribution	Non-contribution	Non-contribution
J5300	Puerto Rico statehood policy	Q04	Foreign & Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue
G1400	International trade associations	N00	Business Associations	Misc Business	Misc Business
X4110	Philanthropists	W02	Non-Profit Institutions	Other	Other
Z1400	Unknown-Party Candidate Committees	Q16	Candidate Committees	Ideology/Single-Issue	Ideological/Single-Issue
A6500	Farm bureaus	A07	Agricultural Services/Products	Agribusiness	Agribusiness
G5260	Political consultants/advisers	N05	Business Services	Misc Business	Misc Business
X3300	Municipal & county government organizations	W03	Civil Servants/Public Officials	Other	Other
M2250	Aluminum mining/processing	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
J7210	Legalization of Doctor-Assisted Suicide	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
JW100	Pro-resource development groups	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J6500	Militias & Anti-Government Groups	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
K1100	Trial Lawyers & law firms	K01	Lawyers/Law Firms	Lawyers & Lobbyists	Lawyers & Lobbyists
Z9700	Unitemized (small) contributions	Z09	Non-contribution	Non-contribution	Non-contribution
G1310	Business tax coalitions	N00	Business Associations	Misc Business	Misc Business
J5400	Pro-Arab	Q04	Foreign & Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue
G5240	Commercial photography, art & graphic design 	N05	Business Services	Misc Business	Misc Business
G5250	Employment agencies	N05	Business Services	Misc Business	Misc Business
G5270	Management consultants & services	N05	Business Services	Misc Business	Misc Business
G5280	Marketing research services	N05	Business Services	Misc Business	Misc Business
G5290	Security services	N05	Business Services	Misc Business	Misc Business
G5300	Equipment rental & leasing	N04	Misc Services	Misc Business	Misc Business
G5400	Funeral services	N04	Misc Services	Misc Business	Misc Business
G5500	Laundries & dry cleaners	N04	Misc Services	Misc Business	Misc Business
G5600	Miscellaneous repair services	N04	Misc Services	Misc Business	Misc Business
G5700	Pest control	N04	Misc Services	Misc Business	Misc Business
G5800	Physical fitness centers	N04	Misc Services	Misc Business	Misc Business
G6000	Recreation/Entertainment	N06	Recreation/Live Entertainment	Misc Business	Misc Business
G6100	Amusement/recreation centers	N06	Recreation/Live Entertainment	Misc Business	Misc Business
G6500	Casinos, racetracks & gambling 	N07	Casinos/Gambling	Misc Business	Misc Business
G6400	Professional sports, arenas & related equip & svcs 	N06	Recreation/Live Entertainment	Misc Business	Misc Business
G6700	Amusement parks	N06	Recreation/Live Entertainment	Misc Business	Misc Business
G6800	Video tape rental	N04	Misc Services	Misc Business	Misc Business
H0000	Health, Education & Human Resources 	H05	Misc Health	Health	Health
H1000	Health professionals	H01	Health Professionals	Health	Health
H1100	Physicians	H01	Health Professionals	Health	Health
H1110	Psychiatrists & psychologists	H01	Health Professionals	Health	Health
H1120	Optometrists & Ophthalmologists	H01	Health Professionals	Health	Health
H1130	Other physician specialists	H01	Health Professionals	Health	Health
H1400	Dentists	H01	Health Professionals	Health	Health
H1500	Chiropractors	H01	Health Professionals	Health	Health
H1700	Other non-physician health practitioners	H01	Health Professionals	Health	Health
H1710	Nurses	H01	Health Professionals	Health	Health
H1750	Pharmacists	H01	Health Professionals	Health	Health
H2000	Health care institutions	H02	Hospitals/Nursing Homes	Health	Health
H2100	Hospitals	H02	Hospitals/Nursing Homes	Health	Health
G4400	Furniture & appliance stores	N03	Retail Sales	Misc Business	Misc Business
G2100	Food and kindred products manufacturing	A09	Food Processing & Sales	Agribusiness	Agribusiness
G2110	Artificial sweeteners and food additives	N01	Food & Beverage	Misc Business	Misc Business
G2200	Confectionery processors & manufacturers	N01	Food & Beverage	Misc Business	Misc Business
G4200	Consumer electronics & computer stores	N03	Retail Sales	Misc Business	Misc Business
G4300	Department, variety & convenience stores 	N03	Retail Sales	Misc Business	Misc Business
G7000	Correctional facilities constr & mgmt/for-profit	N12	Misc Business	Misc Business	Misc Business
Z9500	Transfer from intermediary ( type 24I or 24T)	Z09	Non-contribution	Non-contribution	Non-contribution
E1610	Rural electric cooperatives	E08	Electric Utilities	Energy/Nat Resource	Energy & Natural Resources
E1620	Gas & Electric Utilities	E08	Electric Utilities	Energy/Nat Resource	Energy & Natural Resources
E1630	Independent power generation & cogeneration	E08	Electric Utilities	Energy/Nat Resource	Energy & Natural Resources
E1700	Power plant construction & equipment	E07	Misc Energy	Energy/Nat Resource	Energy & Natural Resources
E2000	Environmental services, equipment & consulting 	E09	Environmental Svcs/Equipment	Energy/Nat Resource	Energy & Natural Resources
E4000	Fisheries & wildlife	E11	Fisheries & Wildlife	Energy/Nat Resource	Energy & Natural Resources
E4100	Fishing	E11	Fisheries & Wildlife	Energy/Nat Resource	Energy & Natural Resources
E4200	Hunting & wildlife	E11	Fisheries & Wildlife	Energy/Nat Resource	Energy & Natural Resources
E5000	Water Utilities	E07	Misc Energy	Energy/Nat Resource	Energy & Natural Resources
F0000	Finance, Insurance & Real Estate 	F13	Misc Finance	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F1200	Savings banks & Savings and Loans	F04	Savings & Loans	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F1000	Banks & lending institutions	F03	Commercial Banks	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F1100	Commercial banks & bank holding companies	F03	Commercial Banks	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F1300	Credit unions	F05	Credit Unions	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F1400	Credit agencies & finance companies	F06	Finance/Credit Companies	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F2000	Securities, commodities & investment 	F07	Securities & Investment	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F2100	Security brokers & investment companies	F07	Securities & Investment	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F2200	Commodity brokers/dealers	F07	Securities & Investment	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
B1200	Dredging Contractors	C01	General Contractors	Construction	Construction
F1410	Student loan companies	F06	Finance/Credit Companies	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F1420	Payday lenders	F06	Finance/Credit Companies	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
X8000	International Organizations	W07	Intl Orgs	Other	Other	Other
H5300	For-profit Education	W04	Education	Other	Other
